City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
201,Grindavik,IS,63.8424,-22.4338,51.75,100,90,19.57,overcast clouds,0.0,0.0
202,Leshukonskoye,RU,64.8989,45.7622,38.86,69,100,4.79,overcast clouds,0.0,0.0
203,Yellowknife,CA,62.456,-114.3525,46.92,71,40,5.75,scattered clouds,0.0,0.0
204,San Matias,BO,-16.3667,-58.4,84.78,18,37,6.04,scattered clouds,0.0,0.0
205,Guozhen,CN,34.3659,107.359,73.9,54,0,4.07,clear sky,0.0,0.0
206,Santa Cruz,BO,-17.8,-63.1667,81.86,65,56,10.36,broken clouds,0.0,0.0
207,Tuatapere,NZ,-46.1333,167.6833,50.25,77,100,8.95,overcast clouds,0.0,0.0
208,Esperance,AU,-33.8667,121.9,55.24,55,13,11.65,few clouds,0.0,0.0
209,Marigot,MF,18.0667,-63.0833,80.38,89,40,8.05,light rain,0.49,0.0
210,Camopi,GF,3.1655,-52.3158,71.67,99,38,1.9,scattered clouds,0.0,0.0
211,Hasaki,JP,35.7333,140.8333,77.4,61,6,16.75,clear sky,0.0,0.0
212,Thompson,CA,55.7435,-97.8558,53.76,82,90,12.66,overcast clouds,0.0,0.0
213,San Patricio,US,28.017,-97.5169,84.54,66,1,14.16,clear sky,0.0,0.0
214,Luderitz,NA,-26.6481,15.1594,52.99,85,32,9.57,scattered clouds,0.0,0.0
215,Mehamn,NO,71.0357,27.8492,43.52,72,100,15.48,overcast clouds,0.0,0.0
216,Le Vauclin,MQ,14.5452,-60.8388,77.05,83,0,3.44,clear sky,0.0,0.0
217,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.01,29,16,0.92,few clouds,0.0,0.0
218,Starobaltachevo,RU,56.0013,55.9213,40.41,53,100,7.7,overcast clouds,0.0,0.0
219,Wenatchee,US,47.4235,-120.3103,62.98,50,4,7.0,clear sky,0.0,0.0
220,Panchagarh,BD,26.3313,88.562,80.24,87,30,7.16,scattered clouds,0.0,0.0
221,Chokurdakh,RU,70.6333,147.9167,33.12,57,76,10.4,broken clouds,0.0,0.0
222,Fengzhen,CN,40.4394,113.1536,60.3,57,36,4.65,scattered clouds,0.0,0.0
223,Manoharpur,IN,27.3,75.95,77.95,91,4,5.5,clear sky,0.0,0.0
224,Bairiki,KI,1.3292,172.9752,87.8,62,20,8.05,few clouds,0.0,0.0
225,Komsomolskiy,UZ,40.4272,71.7189,65.12,39,0,2.3,clear sky,0.0,0.0
226,College,US,64.8569,-147.8028,50.58,63,20,2.3,few clouds,0.0,0.0
227,Kununurra,AU,-15.7667,128.7333,93.18,43,5,8.05,clear sky,0.0,0.0
228,Urumqi,CN,43.801,87.6005,70.75,27,0,6.71,clear sky,0.0,0.0
229,Burnie,AU,-41.0667,145.9167,51.93,65,22,17.38,few clouds,0.0,0.0
230,Carberry,CA,49.8689,-99.3602,62.65,42,100,8.3,overcast clouds,0.0,0.0
231,Whitehorse,CA,60.7161,-135.0538,52.02,50,40,5.75,scattered clouds,0.0,0.0
232,Zhezkazgan,KZ,47.8043,67.7144,43.95,41,15,5.73,few clouds,0.0,0.0
233,Ruteng,ID,-8.6136,120.4721,69.01,72,95,0.6,overcast clouds,0.0,0.0
234,Kiboga,UG,0.9161,31.7742,61.97,97,80,2.21,broken clouds,0.0,0.0
235,Biltine,TD,14.5333,20.9167,85.12,34,53,7.9,broken clouds,0.0,0.0
236,Bilma,NE,18.6853,12.9164,84.43,15,0,3.98,clear sky,0.0,0.0
237,Petropavlivka,UA,48.4564,36.4367,56.98,73,67,6.93,broken clouds,0.0,0.0
238,Alta Floresta,BR,-9.8756,-56.0861,78.44,37,27,1.92,scattered clouds,0.0,0.0
239,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.53,79,76,7.52,broken clouds,0.0,0.0
